Weight,Height
27,55
28,48
29,53
30,58
31,65
32,56
33,64
34,60
35,66
36,58
37,64
38,60
39,61
40,64
41,66
42,68
43,70
44,64
45,75
46,71
47,73
48,77
49,80
50,76
51,83
52,81
53,78
54,85
55,89
56,87
57,84
58,91
59,94
60,93
61,97
62,95
63,100
64,99
65,104
66,106
67,108
68,109
69,110
70,112
40,59
42,65
44,66
46,68
48,72
50,75
52,80
54,84
56,82
58,88
60,91
62,93
64,98
66,102
68,107
45,70
43,69
41,67
39,63
37,60
35,59
33,56
31,52
29,50
27,48
50,78
51,79
52,82
53,85
54,83
55,86
56,88
57,90
58,93
59,95
60,98
61,99
62,100
63,101
64,104
65,106
66,108
67,111
68,114
69,116
70,118
36,62
38,63
40,65
42,67
44,70
46,72
48,75
50,79
52,83
54,86
